,Name,Category,Address,Phone Number,Website
0,Living Faith Church,Pentecostal Church,"Egeonu Street, Rumuigbo 500272, Port Harcourt, Rivers",,
1,Nkst Port Harcourt (Universal Reformed Christian Church),Reformed Church,"9 Acron Avenue, Off Stadium Road, Rumuola 500101, Port Harcourt, Rivers State, Rivers",,
2,Sanctuary Of Peace Parish,Pentecostal Church,"15 Joel Hanacho Street, Off Ogbogoro Road, Rumuolumeni, Mgbuoba 500102, Port Harcourt, Rivers State, Rivers",0709 821 3112,http://rccg.org/
3,Dominion City Church,Pentecostal Church,"Off E - W Rd, Mgbuoba 500102, Port Harcourt, Rivers",,https://dominion-city-church.business.site/
4,Gateway International Church,Pentecostal Church,"30/32 Elioparanwo Road, Off Ada-George Road, 500272, Port Harcourt",0702 500 0950,http://www.gicfamily.org/
5,The Carpenter'S Church,Pentecostal Church,"The Carpenter's Drive, Off Agip Rd, Rumueme 500272, Port Harcourt, Rivers",0809 991 9330,http://www.thecarpenterschurch.org/
6,Passion For Change Ministries Global Church,Pentecostal Church,"opposite Africa independent Television, AIT, 500102, Ozuoba, Rivers",0810 697 1957,
7,Cornerstone Christian Church Inc.,Pentecostal Church,"302 Port Harcourt/Aba Express Road, Rumukwurusi, Rumuokwurusi 500102, Port Harcourt, Rivers State, Rivers",0803 873 1661,
8,"Living Faith Church, D/Line Branch, Port Harcourt, Rivers State",Pentecostal Church,"4 Kaduna Street, D-line 500101, Port Harcourt, Rivers",0809 774 2152,http://www.winnerschapelphc.org/
9,Christ Faith Bible Ministries,Pentecostal Church,"1, Faith Avenue, off Parker Lawson Ave, Rumuokwachi",0803 710 5713,
10,The Redeemed Christian Church Of God,Pentecostal Church,"By Owo Filling Station, Airport Road, Eliozu, 500102, Port Harcourt, Rivers State, Rivers",,http://rccg.org/
11,Faith Service Church Int'L,Pentecostal Church,"By Old Mr. Biggs, No. 14 Chinda Avenue off Stadium Road, Rumuola 500101, Port Harcourt, Rivers, Rivers",,
12,Christ Embassy Church,Pentecostal Church,"Airport Rd, Rumodome 500102, Port Harcourt, Rivers",,http://www.pastorchrisonline.org/
13,Soulwinning Charismatic Church Portharcourt,Pentecostal Church,"Rivers St, Mgbuoba 500102, Port Harcourt, Rivers",0803 273 9541,
14,Immanuel (Ang) Church,Anglican Church,"Port Harcourt, Rivers State",,
15,Christ Holy Church Int'L Rumuokoro,Anglican Church,"No.11 Gideon Ogbonda street,Off Rumuagholu Road",0806 683 2987,https://christ-holy-church-intl-rumuokoro.business.site/?utm_source=gmb&utm_medium=referral
16,Living Spring International Church,Pentecostal Church,"Sani Abacha Road, New GRA 500102, Port Harcourt, Rivers",0808 630 3399,
17,"Calvary Anglican Church, Rumuolumeni Parish",Anglican Church,"#3Woko street, off, Ogbogoro Rd",0803 551 1973,
18,Olive Church,Pentecostal Church,"NO.34 NTA Road, Rumuokwuta, Rumuochita 500272, Port Harcourt, Rivers, Rivers",,
19,Living Faith Church Woji 2,Pentecostal Church,"8 Woji Rd, Trans Amadi 500102, Port Harcourt, Rivers",0806 459 3083,
20,The Redeemed Christian Church Of God,Pentecostal Church,"Port Harcourt, Rivers State",0814 559 2733,http://rccg.org/
21,Royal House Of Grace Int'L Church,Pentecostal Church,"No. 13 Graceland Avenue, New GRA 500272, Port Harcourt, Rivers", ,
22,Gateway International Church,Pentecostal Church,"30/32 Ogbogoro Rd, Rumu opirikom 500102, Port Harcourt, Rivers",0809 776 0489,http://gicfamily.org/
23,Christ The King Catholic Church,Catholic Church,"Port Harcourt, Rivers State",,
24,Church In Glory Assembly,Pentecostal Church,Port Harcourt,8033131777,
25,"House On The Rock, Port Harcourt",Pentecostal Church,"Sani Abacha Road, New GRA 500102, Port Harcourt, Rivers",0818 758 0232,http://www.hotrportharcourt.com/
26,Living Faith Church,Pentecostal Church,"Eternity Drive, Rumuepirikom 500272, Port Harcourt, Rivers",,
27,Rccg Jesus House Parish,Pentecostal Church,Port Harcourt,0802 605 6677,http://www.rccgjesushousephc.org/
28,The Royal Church International.,Pentecostal Church,Port Harcourt,0803 049 2984,
29,Living Spring International Church,Pentecostal Church,Port Harcourt,0703 508 1651,
30,R.C.C.G. Shepherd'S Hill Parish,Pentecostal Church,Port Harcourt,,
